,"Bernard ""Bernie"" Sanders",Donald J. Trump,Evan McMullin,GEO_ID,Gary Johnson,"Gloria Estela
 La Riva",Hillary Clinton,"Jerry
 White","Jill 
Stein",Laurence Kotlikoff,Mike Maturen,S1903_C01_001E,S1903_C01_001M,S1903_C01_002E,S1903_C01_002M,S1903_C01_003E,S1903_C01_003M,S1903_C01_004E,S1903_C01_004M,S1903_C01_005E,S1903_C01_005M,S1903_C01_006E,S1903_C01_006M,S1903_C01_007E,S1903_C01_007M,S1903_C01_008E,S1903_C01_008M,S1903_C01_009E,S1903_C01_009M,S1903_C01_010E,S1903_C01_010M,S1903_C01_011E,S1903_C01_011M,S1903_C01_012E,S1903_C01_012M,S1903_C01_013E,S1903_C01_013M,S1903_C01_014E,S1903_C01_014M,S1903_C01_015E,S1903_C01_015M,S1903_C01_016E,S1903_C01_016M,S1903_C01_017E,S1903_C01_017M,S1903_C01_018E,S1903_C01_018M,S1903_C01_019E,S1903_C01_019M,S1903_C01_020E,S1903_C01_020M,S1903_C01_021E,S1903_C01_021M,S1903_C01_022E,S1903_C01_022M,S1903_C01_023E,S1903_C01_023M,S1903_C01_024E,S1903_C01_024M,S1903_C01_025E,S1903_C01_025M,S1903_C01_026E,S1903_C01_026M,S1903_C01_027E,S1903_C01_027M,S1903_C01_028E,S1903_C01_028M,S1903_C01_029E,S1903_C01_029M,S1903_C01_030E,S1903_C01_030M,S1903_C01_031E,S1903_C01_031M,S1903_C01_032E,S1903_C01_032M,S1903_C01_033E,S1903_C01_033M,S1903_C01_034E,S1903_C01_034M,S1903_C01_035E,S1903_C01_035M,S1903_C01_036E,S1903_C01_036M,S1903_C01_037E,S1903_C01_037M,S1903_C01_038E,S1903_C01_038M,S1903_C01_039E,S1903_C01_039M,S1903_C01_040E,S1903_C01_040M,S1903_C02_001E,S1903_C02_001M,S1903_C02_002E,S1903_C02_002M,S1903_C02_003E,S1903_C02_003M,S1903_C02_004E,S1903_C02_004M,S1903_C02_005E,S1903_C02_005M,S1903_C02_006E,S1903_C02_006M,S1903_C02_007E,S1903_C02_007M,S1903_C02_008E,S1903_C02_008M,S1903_C02_009E,S1903_C02_009M,S1903_C02_010E,S1903_C02_010M,S1903_C02_011E,S1903_C02_011M,S1903_C02_012E,S1903_C02_012M,S1903_C02_013E,S1903_C02_013M,S1903_C02_014E,S1903_C02_014M,S1903_C02_015E,S1903_C02_015M,S1903_C02_016E,S1903_C02_016M,S1903_C02_017E,S1903_C02_017M,S1903_C02_018E,S1903_C02_018M,S1903_C02_019E,S1903_C02_019M,S1903_C02_020E,S1903_C02_020M,S1903_C02_021E,S1903_C02_021M,S1903_C02_022E,S1903_C02_022M,S1903_C02_023E,S1903_C02_023M,S1903_C02_024E,S1903_C02_024M,S1903_C02_025E,S1903_C02_025M,S1903_C02_026E,S1903_C02_026M,S1903_C02_027E,S1903_C02_027M,S1903_C02_028E,S1903_C02_028M,S1903_C02_029E,S1903_C02_029M,S1903_C02_030E,S1903_C02_030M,S1903_C02_031E,S1903_C02_031M,S1903_C02_032E,S1903_C02_032M,S1903_C02_033E,S1903_C02_033M,S1903_C02_034E,S1903_C02_034M,S1903_C02_035E,S1903_C02_035M,S1903_C02_036E,S1903_C02_036M,S1903_C02_037E,S1903_C02_037M,S1903_C02_038E,S1903_C02_038M,S1903_C02_039E,S1903_C02_039M,S1903_C02_040E,S1903_C02_040M,S1903_C03_001E,S1903_C03_001M,S1903_C03_002E,S1903_C03_002M,S1903_C03_003E,S1903_C03_003M,S1903_C03_004E,S1903_C03_004M,S1903_C03_005E,S1903_C03_005M,S1903_C03_006E,S1903_C03_006M,S1903_C03_007E,S1903_C03_007M,S1903_C03_008E,S1903_C03_008M,S1903_C03_009E,S1903_C03_009M,S1903_C03_010E,S1903_C03_010M,S1903_C03_011E,S1903_C03_011M,S1903_C03_012E,S1903_C03_012M,S1903_C03_013E,S1903_C03_013M,S1903_C03_014E,S1903_C03_014M,S1903_C03_015E,S1903_C03_015M,S1903_C03_016E,S1903_C03_016M,S1903_C03_017E,S1903_C03_017M,S1903_C03_018E,S1903_C03_018M,S1903_C03_019E,S1903_C03_019M,S1903_C03_020E,S1903_C03_020M,S1903_C03_021E,S1903_C03_021M,S1903_C03_022E,S1903_C03_022M,S1903_C03_023E,S1903_C03_023M,S1903_C03_024E,S1903_C03_024M,S1903_C03_025E,S1903_C03_025M,S1903_C03_026E,S1903_C03_026M,S1903_C03_027E,S1903_C03_027M,S1903_C03_028E,S1903_C03_028M,S1903_C03_029E,S1903_C03_029M,S1903_C03_030E,S1903_C03_030M,S1903_C03_031E,S1903_C03_031M,S1903_C03_032E,S1903_C03_032M,S1903_C03_033E,S1903_C03_033M,S1903_C03_034E,S1903_C03_034M,S1903_C03_035E,S1903_C03_035M,S1903_C03_036E,S1903_C03_036M,S1903_C03_037E,S1903_C03_037M,S1903_C03_038E,S1903_C03_038M,S1903_C03_039E,S1903_C03_039M,S1903_C03_040E,S1903_C03_040M,winner
Glenn,58.0,5788.0,31.0,0500000US06021,375.0,54.0,3065.0,0.0,97.0,0.0,2.0,10017,225,8650,287,46,59,228,95,293,109,12,21,613,212,175,83,3187,211,6221,220,298,140,3178,281,3794,177,2747,159,7390,339,3324,237,4066,333,5596,387,2401,242,1222,291,684,230,572,147,239,84,3244,315,1351,262,1668,278,745,164,299,109,83,57,1497,216,2553,334,2408,272,932,194,2627,276,1386,220,1191,212,195,78,1241,227,1007,217,234,76,10017,225,86.4,2.3,0.5,0.6,2.3,0.9,2.9,1.1,0.1,0.2,6.1,2.1,1.7,0.8,31.8,1.9,62.1,2.0,3.0,1.4,31.7,2.5,37.9,1.8,27.4,1.6,7390,339,45.0,3.1,55.0,3.1,75.7,4.2,32.5,3.2,16.5,3.8,9.3,3.1,7.7,2.0,3.2,1.1,43.9,3.2,18.3,3.3,22.6,3.8,10.1,2.2,4.0,1.5,1.1,0.8,20.3,2.8,34.5,3.8,32.6,3.5,12.6,2.7,2627,276,52.8,6.7,45.3,6.9,7.4,2.8,47.2,6.7,38.3,6.8,8.9,2.8,47395,3209,47540,3536,-,**,38462,16546,-,**,-,**,41968,10792,-,**,43845,4736,49539,3885,18125,17503,50731,5147,53561,5454,37544,5911,55364,3707,54389,6534,55833,3980,64345,4545,67837,9087,25486,3378,25046,6264,48446,11331,40203,15069,53424,4846,40795,4438,64477,15530,63750,21149,73413,37535,73750,68621,24856,3869,47610,4916,67097,9784,94329,3760,19680,2250,16555,3408,15083,3612,-,**,28844,10637,21297,5443,45479,4601,
Humboldt,1264.0,18373.0,181.0,0500000US06023,2163.0,379.0,33200.0,0.0,3681.0,0.0,5.0,54267,676,46207,673,559,185,2311,268,1140,162,204,149,1602,297,2244,356,4015,333,44324,593,3644,356,16646,443,19229,514,14748,327,30101,794,12260,545,17841,658,20626,736,7172,482,6034,474,3125,395,3441,410,1963,311,16360,691,5559,485,5175,487,1884,304,656,171,467,155,5367,405,11069,634,11307,774,2358,286,24166,804,12075,540,9231,536,2844,300,12091,659,8687,636,3404,383,54267,676,85.1,0.8,1.0,0.3,4.3,0.5,2.1,0.3,0.4,0.3,3.0,0.5,4.1,0.6,7.4,0.6,81.7,0.8,6.7,0.6,30.7,0.7,35.4,0.8,27.2,0.7,30101,794,40.7,1.5,59.3,1.5,68.5,1.8,23.8,1.5,20.0,1.4,10.4,1.3,11.4,1.3,6.5,1.0,54.4,1.5,18.5,1.6,17.2,1.5,6.3,1.0,2.2,0.6,1.6,0.5,17.8,1.2,36.8,2.0,37.6,2.1,7.8,1.0,24166,804,50.0,1.9,38.2,1.9,11.8,1.2,50.0,1.9,35.9,2.0,14.1,1.6,45528,1359,47445,1563,30257,13812,30957,7515,47266,11683,-,**,38594,6498,35357,9589,41250,4252,47889,1560,23103,2250,46102,2571,52504,2974,45268,2535,60961,1790,50039,2514,67772,2964,74475,2267,73194,4332,35942,2011,27336,4836,47159,10465,33266,5733,60525,2209,60113,4052,67987,11775,59188,6393,59167,23251,60451,20997,43450,3477,44933,3236,80567,6673,91786,17487,27314,1378,27099,1555,24398,1841,41496,3762,27730,2984,22360,2568,40833,5530,
Imperial,291.0,12704.0,81.0,0500000US06025,1221.0,339.0,32667.0,0.0,745.0,0.0,43.0,44057,845,30365,792,884,199,517,94,846,153,38,52,9978,560,1429,234,34033,803,7749,359,921,213,14173,710,18048,655,10915,507,33880,870,15296,785,18584,635,22135,1003,9886,702,8650,583,4188,464,3095,400,1222,245,11125,633,7635,637,7464,597,4043,344,2037,344,1576,301,5664,413,12979,704,11213,680,4024,401,10177,697,5304,497,4786,453,518,137,4873,494,4031,468,842,204,44057,845,68.9,1.2,2.0,0.5,1.2,0.2,1.9,0.3,0.1,0.1,22.6,1.2,3.2,0.5,77.2,0.8,17.6,0.8,2.1,0.5,32.2,1.4,41.0,1.4,24.8,1.1,33880,870,45.1,1.7,54.9,1.7,65.3,2.0,29.2,1.7,25.5,1.7,12.4,1.3,9.1,1.2,3.6,0.7,32.8,1.8,22.5,1.7,22.0,1.7,11.9,1.0,6.0,1.0,4.7,0.9,16.7,1.2,38.3,1.7,33.1,1.7,11.9,1.2,10177,697,52.1,3.5,47.0,3.2,5.1,1.3,47.9,3.5,39.6,3.3,8.3,2.0,45834,1861,47872,2740,24435,7375,53125,19430,86667,23328,-,**,42051,3129,47563,14074,43321,2177,62716,7540,22548,10946,54634,4694,52765,4209,28887,2047,52809,2725,50333,4652,54292,3383,64862,2535,69672,5511,27654,3108,19186,3728,45837,6032,40815,12333,43329,3219,45903,5417,61946,4647,65156,5580,67849,12029,72078,15182,20205,1818,39197,2441,71935,4050,93808,9555,20969,2714,16118,1469,15085,1728,38000,22221,31197,7621,28353,7502,55058,16497,
Inyo,66.0,4248.0,24.0,0500000US06027,328.0,51.0,3155.0,0.0,214.0,0.0,0.0,8083,212,6784,180,35,28,786,76,204,70,11,4,119,66,144,64,1177,116,5800,152,217,79,2047,173,3125,194,2694,134,4300,266,1432,166,2868,199,3211,215,905,125,806,183,387,147,283,94,140,73,2626,228,701,124,676,130,220,67,63,42,14,10,1056,164,1238,189,1682,191,324,88,3783,266,2049,229,1714,225,335,95,1734,191,1527,184,207,66,8083,212,83.9,1.5,0.4,0.3,9.7,0.9,2.5,0.9,0.1,0.1,1.5,0.8,1.8,0.8,14.6,1.3,71.8,1.5,2.7,1.0,25.3,1.9,38.7,2.3,33.3,1.6,4300,266,33.3,2.9,66.7,2.9,74.7,4.4,21.0,2.8,18.7,3.7,9.0,3.2,6.6,2.1,3.3,1.7,61.1,2.9,16.3,2.8,15.7,2.8,5.1,1.6,1.5,1.0,0.3,0.2,24.6,3.4,28.8,3.9,39.1,3.7,7.5,2.1,3783,266,54.2,4.3,45.3,4.6,8.9,2.5,45.8,4.3,40.4,4.3,5.5,1.7,52874,3230,53490,3286,72019,26649,41622,3017,-,**,53750,32932,69083,14292,66944,51432,45660,10955,54684,4408,31587,17558,58815,7918,68454,2843,42837,4298,70846,4818,69968,6631,71198,5688,83551,6845,87756,9178,46318,6165,39464,24839,45298,13642,37500,23974,67623,5688,65089,18209,74593,7617,93611,14535,73672,28638,74375,31303,40865,7208,55455,15087,88664,7768,88906,39749,35848,5475,33351,2500,30338,4962,64688,31235,44688,6808,41989,8495,62083,25726,
Kern,1199.0,129584.0,891.0,0500000US06029,9359.0,1522.0,98689.0,2.0,2887.0,3.0,27.0,267913,1297,209518,1554,14039,524,2474,278,11663,536,338,106,22946,1039,6935,579,114373,1265,122060,1184,10607,690,101254,1250,102224,1192,53828,853,200379,1971,103738,1761,96641,1687,136858,1938,68134,1512,43420,1474,25118,1276,20101,1084,10486,919,69867,1707,41952,1581,43324,1449,26110,1142,11966,779,7160,568,31311,1138,74344,1715,72586,1529,22138,1128,67534,1712,32976,1072,27151,1066,5825,554,34558,1300,26551,1101,8007,637,267913,1297,78.2,0.5,5.2,0.2,0.9,0.1,4.4,0.2,0.1,0.1,8.6,0.4,2.6,0.2,42.7,0.4,45.6,0.4,4.0,0.3,37.8,0.4,38.2,0.4,20.1,0.3,200379,1971,51.8,0.7,48.2,0.7,68.3,0.8,34.0,0.7,21.7,0.7,12.5,0.6,10.0,0.5,5.2,0.4,34.9,0.8,20.9,0.7,21.6,0.7,13.0,0.6,6.0,0.4,3.6,0.3,15.6,0.5,37.1,0.8,36.2,0.7,11.0,0.6,67534,1712,48.8,1.2,40.2,1.3,8.6,0.8,51.2,1.2,39.3,1.2,11.9,0.9,52479,729,53153,774,36439,2864,51071,6994,71620,4852,67656,63069,48878,2108,52194,5666,43662,1061,63483,1448,30292,2321,54150,1227,61606,1449,39418,1403,57015,1115,50366,1450,63861,1322,72176,1683,68326,2104,27296,1236,20845,977,41617,3545,37938,3993,55584,1797,56076,2171,60033,3146,57594,3982,53508,3392,65997,5627,25027,1276,41581,1098,80158,2576,93881,2741,32152,1140,27813,1427,25419,1149,45130,4135,37424,1842,34081,2411,53296,8780,
Kings,115.0,18093.0,90.0,0500000US06031,1338.0,251.0,13617.0,0.0,411.0,0.0,0.0,42735,539,30943,601,2375,341,604,179,1836,233,60,34,5843,516,1074,248,19103,460,18397,491,2124,306,17558,557,14578,442,8475,330,32786,709,17817,657,14969,549,22057,703,11420,597,7505,544,4555,481,3224,429,1842,386,11381,643,7782,600,6324,479,4340,456,2024,331,935,225,4538,368,12609,752,12500,703,3139,304,9949,626,4811,392,3985,378,826,226,5138,519,3484,424,1654,342,42735,539,72.4,1.3,5.6,0.8,1.4,0.4,4.3,0.5,0.1,0.1,13.7,1.2,2.5,0.6,44.7,0.9,43.0,1.0,5.0,0.7,41.1,1.0,34.1,1.1,19.8,0.8,32786,709,54.3,1.5,45.7,1.5,67.3,1.8,34.8,1.7,22.9,1.6,13.9,1.4,9.8,1.2,5.6,1.1,34.7,1.7,23.7,1.7,19.3,1.5,13.2,1.3,6.2,1.0,2.9,0.7,13.8,1.0,38.5,2.0,38.1,2.0,9.6,1.0,9949,626,48.4,3.4,40.1,3.4,8.3,2.2,51.6,3.4,35.0,3.3,16.6,3.2,53865,2352,56134,2501,43917,10454,43971,6171,73810,4535,-,**,44908,2848,66797,17014,43845,2060,68415,3657,38411,6223,53606,3469,63278,4412,47659,3300,56983,2468,49402,3293,65760,2839,72574,3410,67481,5958,28738,3520,23182,2668,45721,3994,40255,6992,51109,2143,61512,6827,63852,4699,59941,9068,44798,19725,53958,24204,23015,4183,40856,1789,78161,2103,99437,6995,38044,3618,27942,4223,23671,3556,46173,9735,47984,6671,42521,4374,76814,11166,
Lake,219.0,10599.0,53.0,0500000US06033,1095.0,103.0,11496.0,0.0,930.0,0.0,1.0,25966,628,21844,565,598,109,662,130,193,87,12,18,2103,298,554,175,3484,260,20638,556,628,186,5787,341,10493,327,9058,381,15359,563,5831,439,9528,493,10699,481,3404,319,3363,398,1735,300,1297,251,692,191,8043,496,3512,411,2022,254,1138,227,485,147,159,81,3854,348,5401,457,5027,512,1077,202,10607,594,5329,377,4401,365,928,199,5278,455,3993,439,1285,261,25966,628,84.1,1.2,2.3,0.4,2.5,0.5,0.7,0.3,0.0,0.1,8.1,1.1,2.1,0.7,13.4,0.9,79.5,1.1,2.4,0.7,22.3,1.1,40.4,1.3,34.9,1.2,15359,563,38.0,2.4,62.0,2.4,69.7,2.5,22.2,2.1,21.9,2.3,11.3,1.8,8.4,1.6,4.5,1.2,52.4,2.3,22.9,2.4,13.2,1.7,7.4,1.5,3.2,1.0,1.0,0.5,25.1,2.2,35.2,2.7,32.7,2.8,7.0,1.3,10607,594,50.2,2.8,41.5,2.8,8.7,1.9,49.8,2.8,37.6,3.2,12.1,2.4,42475,2511,45771,3139,27763,20787,22622,13821,-,**,-,**,33853,6108,27384,17186,40560,7872,45279,3361,31270,2948,46999,4810,48750,5809,39750,2372,54677,3052,43287,3706,62836,5331,67963,5370,63641,8603,27668,4833,20781,6948,24411,8940,14286,5394,52702,3592,49265,12334,56261,4824,75720,11462,52176,14475,81719,64562,35027,4600,45385,5989,76674,3600,102344,24672,26351,1388,25339,2447,21756,2046,39813,13654,28614,4717,23600,3506,47672,8231,
Lassen,52.0,7574.0,47.0,0500000US06035,473.0,46.0,2224.0,0.0,105.0,2.0,1.0,9493,354,8795,285,55,117,291,65,47,27,34,35,36,34,235,72,237,197,8612,293,414,168,2494,223,3803,156,2782,106,6141,314,2135,175,4006,249,4899,322,1457,173,882,155,458,103,360,104,220,83,3537,244,1276,178,767,124,301,72,199,75,61,39,1329,143,2303,234,2182,204,327,115,3352,250,1546,167,1277,150,269,98,1806,207,1490,203,316,103,9493,354,92.6,1.8,0.6,1.2,3.1,0.7,0.5,0.3,0.4,0.4,0.4,0.4,2.5,0.7,2.5,2.0,90.7,2.6,4.4,1.7,26.3,1.8,40.1,1.9,29.3,1.4,6141,314,34.8,2.3,65.2,2.3,79.8,3.0,23.7,2.3,14.4,2.5,7.5,1.7,5.9,1.7,3.6,1.3,57.6,3.0,20.8,2.6,12.5,1.8,4.9,1.2,3.2,1.2,1.0,0.6,21.6,2.3,37.5,3.2,35.5,2.8,5.3,1.8,3352,250,46.1,4.2,38.1,4.2,8.0,2.8,53.9,4.2,44.5,4.6,9.4,3.0,56362,1943,56807,2303,64375,46031,34886,12236,109792,89010,-,**,53750,47383,-,**,51058,14996,56883,2479,49485,11292,65625,10407,66955,7843,41178,4222,69082,3945,63006,11585,72014,4366,77681,5995,78381,9047,32900,10963,25000,12451,42159,15301,36875,20590,64240,3154,68727,8259,83702,13253,82981,21916,127188,80014,76827,26552,37093,2775,61703,5842,92165,5997,152279,44877,35250,4979,32716,4809,29768,4809,40083,7611,41159,6753,34038,9064,58472,25938,
Los Angeles,7724.0,769743.0,4607.0,0500000US06037,88968.0,21993.0,2464364.0,15.0,76465.0,155.0,274.0,3306109,5533,1835273,6413,321657,2088,21380,981,492676,2576,7146,463,529434,4160,98543,2484,1233981,4558,1185485,3566,87792,1833,1182789,4388,1319848,3855,715680,3454,2207265,7274,952402,6568,1254863,4847,1485293,8094,642979,6657,496573,3924,221777,2956,225399,3034,87646,1963,798621,5550,521788,5017,465693,5087,239070,2762,104519,2143,77574,1786,244927,3177,739048,5605,878593,5947,344697,3415,1098844,5069,568634,4466,457308,4282,111326,2445,530210,4096,389648,3585,140562,2581,3306109,5533,55.5,0.1,9.7,0.1,0.6,0.1,14.9,0.1,0.2,0.1,16.0,0.1,3.0,0.1,37.3,0.1,35.9,0.1,2.7,0.1,35.8,0.1,39.9,0.1,21.6,0.1,2207265,7274,43.1,0.2,56.9,0.2,67.3,0.2,29.1,0.2,22.5,0.2,10.0,0.1,10.2,0.1,4.0,0.1,36.2,0.2,23.6,0.2,21.1,0.2,10.8,0.1,4.7,0.1,3.5,0.1,11.1,0.1,33.5,0.2,39.8,0.2,15.6,0.2,1098844,5069,51.7,0.3,41.6,0.3,10.1,0.2,48.3,0.3,35.5,0.3,12.8,0.2,64251,247,71397,473,45886,775,54447,3244,75326,765,69433,4065,50358,439,70327,1713,52712,342,83847,518,34893,1092,67403,537,74607,443,46593,469,72362,392,64412,598,77554,492,89841,509,87922,894,42646,460,30085,424,53496,758,41124,698,65523,567,70604,690,81479,894,74198,1032,75047,1258,87272,1674,26402,469,48057,389,94573,789,106383,890,44474,407,38596,667,31147,349,76188,1742,51443,596,41600,466,83234,1057,
Madera,183.0,23357.0,145.0,0500000US06039,1558.0,187.0,17029.0,0.0,644.0,0.0,9.0,44759,607,34590,725,1507,385,592,157,831,154,12,17,6053,545,1174,247,20596,545,20744,494,1048,243,15186,634,16765,563,11760,364,34804,835,16126,752,18678,684,25890,829,11086,589,6255,650,3836,574,2659,388,1204,318,13052,715,6416,622,6937,578,5125,614,1908,364,1366,252,6148,507,12645,873,11759,750,4252,482,9955,738,5640,558,4936,492,704,206,4315,478,3273,398,1042,242,44759,607,77.3,1.3,3.4,0.9,1.3,0.4,1.9,0.3,0.0,0.1,13.5,1.2,2.6,0.5,46.0,1.0,46.3,1.0,2.3,0.5,33.9,1.3,37.5,1.2,26.3,0.8,34804,835,46.3,1.7,53.7,1.7,74.4,1.7,31.9,1.5,18.0,1.8,11.0,1.6,7.6,1.1,3.5,0.9,37.5,1.9,18.4,1.7,19.9,1.6,14.7,1.7,5.5,1.0,3.9,0.7,17.7,1.3,36.3,2.4,33.8,2.0,12.2,1.4,9955,738,56.7,3.6,49.6,3.5,7.1,2.0,43.3,3.6,32.9,3.4,10.5,2.2,52884,1923,55286,3201,43854,27635,48333,24859,58662,3788,-,**,42476,4863,53963,7214,44155,2461,63660,2231,38370,8373,49103,3741,64766,4309,47284,2912,57531,1973,50802,3853,63258,2940,67996,2167,66370,5116,29907,4766,19385,3966,42654,6148,36577,4544,56641,2335,53934,7250,59461,5775,58801,5299,52051,4835,74267,9564,37271,3841,43107,2796,76545,4035,85897,7106,32363,2483,27421,4306,25037,3859,40977,7655,40264,7089,34214,3573,70278,24403,
Marin,896.0,21771.0,249.0,0500000US06041,4180.0,351.0,108707.0,0.0,3109.0,6.0,4.0,105258,753,89581,963,1794,288,253,98,5576,332,108,74,4654,430,3292,376,10203,427,84800,841,1189,272,22526,588,46115,579,35428,547,65685,1051,29036,784,36649,965,53772,1120,22508,762,8144,610,4212,463,3769,445,2316,366,32304,849,14554,813,13262,775,4363,479,757,208,445,144,8267,568,20392,877,31016,984,6010,439,39573,940,24591,860,20801,740,3790,456,14982,706,11391,607,3591,447,105258,753,85.1,0.6,1.7,0.3,0.2,0.1,5.3,0.3,0.1,0.1,4.4,0.4,3.1,0.4,9.7,0.4,80.6,0.6,1.1,0.3,21.4,0.5,43.8,0.5,33.7,0.5,65685,1051,44.2,1.1,55.8,1.1,81.9,1.1,34.3,1.0,12.4,0.9,6.4,0.7,5.7,0.7,3.5,0.6,49.2,1.0,22.2,1.1,20.2,1.1,6.6,0.7,1.2,0.3,0.7,0.2,12.6,0.8,31.0,1.3,47.2,1.2,9.1,0.6,39573,940,62.1,1.6,52.6,1.5,9.6,1.1,37.9,1.6,28.8,1.4,9.1,1.1,110217,3332,118494,3445,66316,36318,91845,43588,103000,16417,19214,18743,51915,3598,97115,27466,64367,4758,121310,3006,50030,13784,128036,4793,135864,4145,79404,3333,147878,4631,167766,6924,135836,3867,166216,4563,199814,7123,71451,5614,67807,13136,83523,19187,74357,25360,128417,5518,158407,11344,200851,8588,164413,11847,189057,33830,100056,21681,85735,4820,125850,6772,176730,5484,177398,15655,61436,2240,60036,4044,52361,3083,108775,2516,68354,9103,53595,4320,126408,15780,
Mariposa,0.0,5185.0,0.0,0500000US06043,326.0,55.0,3122.0,0.0,189.0,0.0,0.0,7700,351,7037,340,55,57,119,68,37,31,20,29,162,68,270,112,623,115,6591,315,231,100,1522,241,2960,181,2987,137,5019,363,1516,215,3503,288,4040,306,1098,177,664,166,310,120,315,119,108,55,2909,281,911,201,789,186,257,101,128,80,25,33,1373,170,1688,257,1717,251,241,98,2681,318,1332,215,1190,211,142,62,1349,229,1150,216,199,74,7700,351,91.4,1.7,0.7,0.7,1.5,0.9,0.5,0.4,0.3,0.4,2.1,0.9,3.5,1.5,8.1,1.4,85.6,2.0,3.0,1.2,19.8,2.6,38.4,2.1,38.8,2.2,5019,363,30.2,3.4,69.8,3.4,80.5,3.6,21.9,3.0,13.2,3.0,6.2,2.3,6.3,2.3,2.2,1.1,58.0,3.8,18.2,3.8,15.7,3.3,5.1,2.0,2.6,1.6,0.5,0.6,27.4,3.3,33.6,4.3,34.2,4.1,4.8,1.9,2681,318,49.7,5.8,44.4,6.0,5.3,2.3,50.3,5.8,42.9,5.8,7.4,2.7,51199,3487,52272,3813,-,**,51902,49277,25990,12918,-,**,-,**,27188,12946,42014,11604,53432,3392,20990,13796,51699,5510,56583,6123,48336,3615,60183,5773,56333,9209,62402,7886,68514,8565,71500,12715,45000,18224,25917,14814,44962,19056,50476,14137,56787,3712,65145,11468,79917,14421,57599,13464,71250,50271,-,**,47022,6594,55224,3889,79161,6366,108942,50479,25819,4037,26250,3853,24292,4079,53269,37052,24967,9302,22199,5238,41458,14168,
Mendocino,789.0,10888.0,124.0,0500000US06045,1331.0,151.0,22079.0,0.0,2108.0,3.0,4.0,34090,621,30400,637,66,51,1113,141,473,144,60,52,953,218,1025,179,5553,346,26172,550,792,196,9053,424,12822,386,11423,332,20783,721,8457,517,12326,660,14932,674,5169,437,3954,389,2050,355,1897,253,1238,224,10551,611,4242,410,3846,444,1398,241,570,143,176,81,3827,327,7248,577,7845,589,1863,250,13307,625,7054,505,5827,430,1227,266,6253,424,4807,438,1446,264,34090,621,89.2,1.0,0.2,0.1,3.3,0.4,1.4,0.4,0.2,0.2,2.8,0.6,3.0,0.5,16.3,0.9,76.8,1.1,2.3,0.6,26.6,1.0,37.6,1.0,33.5,1.0,20783,721,40.7,2.2,59.3,2.2,71.8,2.1,24.9,2.0,19.0,1.8,9.9,1.7,9.1,1.2,6.0,1.1,50.8,2.1,20.4,1.8,18.5,2.1,6.7,1.1,2.7,0.7,0.8,0.4,18.4,1.5,34.9,2.6,37.7,2.4,9.0,1.1,13307,625,53.0,2.6,43.8,2.5,9.2,1.9,47.0,2.6,36.1,3.1,10.9,1.9,49233,2356,50270,2669,-,**,49321,8557,62723,34873,40592,16167,50260,17209,29712,6838,40964,3911,53470,3079,35536,4719,46685,5066,52557,3679,48401,4723,62513,1987,44640,4668,69356,3032,71733,2741,68365,5067,31352,3099,21375,4073,37714,5136,32433,4271,62474,2795,65095,7399,54360,5082,55469,11193,76848,10342,132794,80506,38110,8499,44644,3371,77922,5873,92112,9678,29440,3168,25958,2178,21776,1746,61289,13418,34819,4840,27024,2582,57222,5665,
Merced,506.0,28725.0,162.0,0500000US06047,2410.0,454.0,37317.0,0.0,1209.0,0.0,6.0,79606,596,51143,804,2883,271,605,199,4981,335,161,59,17792,748,2041,284,39052,673,31305,519,3535,366,30583,618,28636,654,16852,424,60642,921,31699,822,28943,808,40756,978,20162,715,13472,638,8629,518,6414,620,2908,399,20004,786,12327,839,11625,787,9434,634,4073,513,3179,498,9373,560,22960,915,20295,880,8014,526,18964,878,9812,646,7874,534,1938,343,9152,644,7090,578,2062,350,79606,596,64.2,1.0,3.6,0.3,0.8,0.2,6.3,0.4,0.2,0.1,22.4,0.9,2.6,0.4,49.1,0.7,39.3,0.7,4.4,0.5,38.4,0.7,36.0,0.8,21.2,0.5,60642,921,52.3,1.1,47.7,1.1,67.2,1.3,33.2,1.1,22.2,1.0,14.2,0.9,10.6,1.0,4.8,0.6,33.0,1.2,20.3,1.3,19.2,1.3,15.6,1.1,6.7,0.8,5.2,0.8,15.5,0.9,37.9,1.4,33.5,1.4,13.2,0.9,18964,878,51.7,2.5,41.5,2.1,10.2,1.7,48.3,2.5,37.4,2.4,10.9,1.8,50129,1671,53996,2080,39576,4477,35625,16338,56013,5128,-,**,43490,2015,44971,11955,44436,1641,61238,2953,30196,7833,48999,1797,61470,2690,40565,2186,54731,1640,46900,2124,63454,1775,68093,2189,62790,2944,25155,1832,17597,1861,42273,3459,37873,6950,52870,3024,46915,5067,57134,3496,56553,3972,57023,6967,69152,9107,23155,2044,39162,1232,74150,2969,92186,6432,29316,1715,26495,1656,24592,2447,36025,8051,37000,6378,29680,3820,53214,9465,
